C:\Program Files\nodejs\node.exe --max-old-space-size=4096 .\main.js
Shape Processing Unit 0.2.0
Thu Jul 08 2021 09:00:39 GMT-0700 (Pacific Daylight Time)

Searching for shapes...
Max program length: 15
Input data: [000f,000f,000f]

   1000000 IC1XIC2SIC2 [000c,000c,0003,0033]
   2000000 IC1R1U1SICXRC [009c,0008,0001]
   3000000 IC1RSRI1LSUCI [04cc,0023,000f]
   4000000 IC1RC21UI1IC1 [0008,0003,000f,0004,0003,000c]
   5000000 IC1RC1I1L2L32 [000f,0008,0003,0004]
   6000000 IC1RCUXXIC2U2 [0003,000c,000c]
   7000000 IC1RCI1SI3SS1 [3f1f,0008]
   8000000 IC1RI2SSICLC1 [03f9,000c,0001,0008]
   9000000 IC1RISRSUC1R [0003,0999]
  10000000 IC1RIC1ISR32C [0009,00f9,0003,0003]
  11000000 IC1RII2USUXCU [0003,000c,000c]
  12000000 IC1UI2R2US1X [00c6]
  13000000 IC1UIXL1RCUXC [0009,0004]
  14000000 IC1UICLXL22XU [0006,000c]
  15000000 IC1L1RIC3CL2R [0006,000c,0004,0001,0006]
  16000000 IC1L1II2LSSL1 [0cff,0006]
  17000000 IC1LC22U1SXLI [0001,000f]
  18000000 IC1LC1LIXL21R [0002,0003,0002]
  19000000 IC1LCUXI2SLCI [0004,008c,0013,000f]
  20000000 IC1LCI2LI22C [0003,0002,000f,000f,0002]
  21000000 IC1LI22CIXL3U [0003,0004,0001,000f]
  22000000 IC1LI1IXUX1US [00cf]
  23000000 IC1LIC1R1LSRC [0003,0006,0033]
  24000000 IC1LII3R22SU [0006,0006,00ff]
  25000000 IC1I2S1U11 [003f,0003]
  26000000 IC1I2USCU2XXR [0099]
  27000000 IC1I12SICRSSS [6cff]
  28000000 IC1I1RCR3SLC1 [000f,0008,0011,0008]
  29000000 IC1I1I2CXLC1U [0003,000c,000f,0002,0001]
  30000000 IC1ISLI1CU1US [0003,000f,00f9]
  31000000 IC1IXRISC1L2L [0031,0064,0009]
  32000000 IC1IC3U1L3I31 [000c,0009,000c,000c,000f]
  33000000 IC1IC2U22I34S [000c,0003,000f,0033]
  34000000 IC1IC1U3XIC14 [0003,0003,0003,000c,000c]
  35000000 IC1ICR3R3LIXU [000c,0006,0006,0009]
