C:\Program Files\nodejs\node.exe --max-old-space-size=4096 .\main.js
Shape Processing Unit 0.2.0
Thu Jul 08 2021 10:31:58 GMT-0700 (Pacific Daylight Time)

Searching for shapes...
Max program length: 16
Input data: [000f,000f,000f,000f]

   1000000 IC1XRCIC2X1I3X [0003,000c,000f]
   2000000 IC1XRIC1R2C2XS [0003,0006]
   3000000 IC1XRIICIX1LSR [0006,000f,00c6]
   4000000 IC1XUICISXR1C [0009,000c]
   5000000 IC1XLCLXUICICI [0002,000c,0003,000c,0003,000f]
   6000000 IC1XLI1I1SUI1S [000f,06ff]
   7000000 IC1XLICISCU32S [000c,00cc,00c9]
   8000000 IC1XI1UIC3SISX [000c,000c]
   9000000 IC1XISCRICRXUS [000c,0366]
  10000000 IC1XIC2L1LXUIU [000c,0006,000f]
  11000000 IC1XICR22U2LIR [0003,0003,0003,000f]
  12000000 IC1XICUI3L2IX [000c,000f,0009,000c]
  13000000 IC1XICI31C41RX [0003,0003,000c,000c]
  14000000 IC1XICICL3L34X [000c,0009,0006,0003]
  15000000 IC1XIIC3U1ISCU [000f,000c,000c,000c,00cc]
  16000000 IC1XIICI2LCL15 [000f,0003,000f,0001,0004,0003]
  17000000 IC1R1SIC22L21X [0039,0003]
  18000000 IC1R1R1CX1RIX1 [000c,0008]
  19000000 IC1R1RCIX2UCRI [0004,0002,0004,0004,000f]
  20000000 IC1R1RIICI3S13 [0009,000c,00ff,0003,0006]
  21000000 IC1R1UIC3CI23L [000c,000c,0001,000f,0008,0009]
  22000000 IC1R1LCU2IXSR [0008,000b]
  23000000 IC1R1LICU2XLX [0009,000c]
  24000000 IC1R1I2CISU3L [000f,0008,00f4,0009]
  25000000 IC1R1IS1ICIC5R [0009,000c,0003,000c,0003,00f6]
  26000000 IC1R1IC3CII62 [000c,0003,0008,0001,000f,0003,000f]
  27000000 IC1R1ICUXRCXXL [0009,0009]
  28000000 IC1R1II21CU4 [000f,0003,000c,000c,0009]
  29000000 IC1RSRCI21XLIU [0032,0002,000f]
  30000000 IC1RSLC1II3UIS [00c8,000f,000f,00f4]
  31000000 IC1RSCRCUXRIIU [0008,0008,000f,000f]
  32000000 IC1RSCIC2L3R11 [000c,0003,0089,0001]
  33000000 IC1RSIC2RISRXL [000c,0009]
  34000000 IC1RSIIXC21XUS [06cc]
  35000000 IC1RXLC1U1RICI [0002,0002,000c,0003,000f]
  36000000 IC1RXIC1I2USSU [0003,03f3]
  37000000 IC1RC22XIIX1RX [0001,000f]
  38000000 IC1RC21ICISU32 [0008,0001,00fc,0003,000c]
  39000000 IC1RC2RCXUISRX [0008,0001]
  40000000 IC1RC2L2U12LS1 [0089,0002]
  41000000 IC1RC2I22U2C3R [0008,000c,000c,0003,0002]
  42000000 IC1RC2ICRCIXU5 [0001,0003,000c,0004,0008,0008]
  43000000 IC1RC12ISI3I31 [0008,000f,0001,00f3,000f]
  44000000 IC1RC1U1ISI3UX [0002,00f1,000f]
  45000000 IC1RC1I3RCIC5U [0001,000f,0004,0002,000c,0003,0002]
  46000000 IC1RC1IC13XXUI [0003,0008,000c,000f]
  47000000 IC1RCXXLC1RSIU [0011,000f]
  48000000 IC1RCXICR3IX11 [0008,000c,0006,0003]
  49000000 IC1RCR2IC3L11 [0008,0003,000c,0003,0001]
  50000000 IC1RCRSIIC3XUC [0003,000f,000c,000c]
  51000000 IC1RCRISR1SRXU [000c]
  52000000 IC1RCRIIIC6RCL [0008,0002,000f,000f,000c,0003,0004,0001]
  53000000 IC1RCU1RI23RSX [0001,000f]
  54000000 IC1RCUI2X12UXX [000f]
  55000000 IC1RCUICL1RX2X [0003,0004,0009]
  56000000 IC1RCL2I21IXC4 [0003,0008,000c,0003,0008]
  57000000 IC1RCLI22I1RSS [0003,000f,01f8]
  58000000 IC1RCLICL4LXC [0008,0008,000c,0008,0001]
  59000000 IC1RCI3SC1RI3R [0008,0033,0009,000f,0002]
  60000000 IC1RCI3ISI2C21 [0008,0001,00f3,000c,000f,0003]
  61000000 IC1RCI2RX1S1RX [001f]
  62000000 IC1RCI12UIXL2U [0003,0001,0001,000f]
  63000000 IC1RCI1I14U2I4 [0008,0001,000c,000f,000f,000f]
  64000000 IC1RCISC3I3I1 [0008,0031,0003,000f,000f,000c]
  65000000 IC1RCIXI22X1I1 [0003,0008,000f,000f]
  66000000 IC1RCIC3I1UX2C [0003,0001,0003,000f,000c]
  67000000 IC1RCICXX1ISI3 [0001,00f8,000f,0003]
  68000000 IC1RCICL4XI4US [0001,000c,0009,002f]
  69000000 IC1RCICIC3L65S [0008,0003,000c,0003,0006,0013]
  70000000 IC1RCII2USL2I1 [0003,000f,002f,000f,0008]
  71000000 IC1RCIICL41CUC [0003,0001,000f,000c,0008,0008,0004]
  72000000 IC1RI22IXUI2S2 [0006,003f,000f]
  73000000 IC1RI2SCI13UIC [000c,000f,0033,0006,000c,0003]
  74000000 IC1RI2RCICL5LI [000f,0004,0002,000c,0009,000c,000f]
  75000000 IC1RI2LSUIXCUS [0009,8c4c]
  76000000 IC1RI2I1LC2I2X [0009,000f,0008,000f,000f]
  77000000 IC1RI12RI3C13L [0009,000f,0003,000c,0003]
  78000000 IC1RI1XI22C2L1 [000f,000c,0009,0003]
  79000000 IC1RI1UCI2LI2R [0003,000f,0002,0002,000f,000f]
  80000000 IC1RI1C2SIXCL3 [0008,000c,0098,0003]
  81000000 IC1RI1CI12U41C [000f,000f,0001,0003,0002]
  82000000 IC1RI1IC4I5CXU [0009,000c,0003,0003,000f,0003]
  83000000 IC1RISRSCXUIC1 [0003,0003,000c]
  84000000 IC1RISC1USRCLX [0003,0444]
  85000000 IC1RISIC2LCU24 [000c,00cc,000c,0003,0003]
  86000000 IC1RIXUIISSRXC [0003]
  87000000 IC1RIXIXSUI1CX [000f,004c]
  88000000 IC1RIC3R3X2XUI [0003,0009,000f]
  89000000 IC1RIC3IXUSCX [0009,000c,000c]
  90000000 IC1RIC2XIX1UX [0003,0003]
  91000000 IC1RIC2CI2IS31 [0003,000c,0001,000f,0003,00f8]
  92000000 IC1RIC1XIISXSX [0003]
  93000000 IC1RIC1IC5I1 [0009,0003,000c,000c,0003,000f,0003]
  94000000 IC1RICXII4XXX [0009,000c]
  95000000 IC1RICRSU1RI1L [0003,0093,000f,0009]
  96000000 IC1RICRISC2L33 [0003,0032,0006,0009,00c4]
  97000000 IC1RICUXI1L3RX [0009,000f,0006]
  98000000 IC1RICL2IC34S2 [0003,0009,0003,00c9,000c]
  99000000 IC1RICLCI35R22 [0009,0008,0001,0006,000f,000c]
 100000000 IC1RICI31SX1XC [0003,0003]
 101000000 IC1RICI1L44I1U [000c,000f,0009,0003,000f,0006]
 102000000 IC1RICIC1UI1SU [0003,0009,000c,0003,0003,00cf]
 103000000 IC1RII31C1XI2C [0009,000f,0003,000f,0003]
 104000000 IC1RII23LCICU [000f,000f,0009,0008,0001,000c,000c]
 105000000 IC1RII2CXR32SI [000f,0001,00f3,000f]
 106000000 IC1RIIX1X1RCRI [000f,0004,0004,000f]
 107000000 IC1RIIC3R2R33C [0003,0003,0009,000f,0003]
 108000000 IC1RIICXXI21XS [0003,009f]
 109000000 IC1RIICLSU1CX [0003,0009,0063,000c]
 110000000 IC1RIIIC5L3X31 [0009,000c,0003,000f,0009]
 111000000 IC1USUIICRXRSR [00cc,003f]
 112000000 IC1USIC2IICLCU [000c,0003,0033,000f,000c,0008,0004]
 113000000 IC1UXRC1LIC2L2 [0002,0003,0001,000c]
 114000000 IC1UXLIC2USRXU [0003]
 115000000 IC1UXICLC2XIIL [0003,0008,0001,000f,000f]
 116000000 IC1UI22I1SR21I [0003,000f,006f,000f]
 117000000 IC1UI2RSSCL1LI [0199,0026,000f]
 118000000 IC1UI2L2XLICL [000f,000c,000c,0009]
 119000000 IC1UI2I1SCL3X [000f,000c,0099]
 120000000 IC1UI12U12IX11 [000c,0003,000f]
 121000000 IC1UI1R21UCXXU [000f,000c]
 122000000 IC1UI1UI32U2I3 [000f,0003,000f,000f,0003]
 123000000 IC1UI1I3L3IS2S [0003,0009,0fff]
 124000000 IC1UI1IICLSL [0003,000f,0003,000f,00c6]
 125000000 IC1UISUIC12I31 [0003,000c,00fc,0003,000f]
 126000000 IC1UISCI21CL3S [0003,000c,000c,0339]
 127000000 IC1UIXRCU22S1I [0007,0008,000f]
 128000000 IC1UIC33SUIC13 [000c,00cc,0003,000c,0003]
 129000000 IC1UIC3L22RC1X [0003,0009,000c,0002]
 130000000 IC1UIC2SI31XSC [000c,0333]
 131000000 IC1UIC2I1I5XC3 [000c,0003,0003,000c,0003,000f]
 132000000 IC1UIC1I12LC52 [0003,000f,000c,0001,0003,0008]
 133000000 IC1UICR31UII3L [0003,000c,0009,000f,000f,0009]
 134000000 IC1UICRXI1RIXL [0003,0003,000f,000c]
 135000000 IC1UICU3R1SCLX [0003,000c,00c4]
 136000000 IC1UICL32IS1U1 [0003,0009,000c,00fc]
 137000000 IC1UICLXLCX12S [0004,0033]
 138000000 IC1UICI42I12U [0003,000c,000f,000f,0003,000c]
 139000000 IC1UICI14XL3S1 [000c,0039,000f]
 140000000 IC1UICIC3U5I25 [0003,000c,0003,0003,000f,0003,0003]
 141000000 IC1UII31SIXSLX [0003]
 142000000 IC1UII22XRIC13 [0003,0006,0003,000c,000f]
 143000000 IC1UIIS2LSCL12 [0899,08cc,0003]
 144000000 IC1UIIC4SRS2IS [000f,066c,00f3]
 145000000 IC1UIIC1RC32S1 [0003,0003,0003,008f,0001]
 146000000 IC1UIICL4I3U3U [0003,000f,0003,000f,0003,0006]
 147000000 IC1UIIIX2U12CL [0003,000c,000f,000c,0009]
 148000000 IC1L1SIC2CRS1I [000c,0644,0003,000f]
 149000000 IC1L1RXIXICXI2 [000c,000f,0006]
 150000000 IC1L1RI1SC1LCR [0006,0023,0004,0044]
 151000000 IC1L1U1ICR3RX2 [000c,0006,0006]
 152000000 IC1L1UIIXC3I4 [000c,0003,0006,000f,000c]
 153000000 IC1L1LCUI3C4I2 [0004,000f,0004,0008,000f,0002]
 154000000 IC1L1LICL3R2U [0009,0009,000c,0003]
 155000000 IC1L1I2CII3SLS [0003,000f,0002,02ff]
 156000000 IC1L1ISSCIIS1X [00c4,00ff]
 157000000 IC1L1IC3I2R2CI [0003,000c,000f,0006,0004,0002,000f]
 158000000 IC1L1ICUI3RIC4 [0006,000c,000f,0006,000c,0003,000c]
 159000000 IC1L1II2SUCU1C [0006,000f,000c,00cc]
 160000000 IC1LSRCIXICR23 [000c,0006,0002,00c4]
 161000000 IC1LSLCRICL13R [0062,0009,000c,0001]
 162000000 IC1LSCRCI23U23 [0044,0001,000f,0002]
 163000000 IC1LSCIC1X2LX [0023,0003]
 164000000 IC1LSIC2UI2ISC [000c,009c,000f,000c,0033]
 165000000 IC1LSIIXISXRC [00c4,0002]
 166000000 IC1LXLC1IC1R3U [0008,0003,0009,0004]
 167000000 IC1LXIC1II33R [0003,000f,000f,0003,0009]
 168000000 IC1LC22R12SXIL [0008,000f]
 169000000 IC1LC21II2SLXI [0004,0003,000f,000f]
 170000000 IC1LC2RCU12S1R [0004,0006,0001]
 171000000 IC1LC2L2I2I1SI [0002,0004,000f,009f,000f]
 172000000 IC1LC2I21X1USL [0004,0007]
 173000000 IC1LC2ICU32S1R [0004,0003,000e,0009]
 174000000 IC1LC12IXLC32R [0004,0001,0002,0001]
 175000000 IC1LC1U2I2RS1U [0002,002f,000c]
 176000000 IC1LC1I3U1CRC [0002,0004,000c,000c,0004,0002]
 177000000 IC1LC1IC1RXX22 [0004,0003,0002]
 178000000 IC1LCXXI1I2CLI [0003,000f,000c,0009,000f]
 179000000 IC1LCXICRC34IS [000c,0004,0002,0004,00f3]
 180000000 IC1LCR2ICI5I1R [0004,0003,000c,0003,000f,000f,0008]
 181000000 IC1LCRI2IX3XXS [00f4]
 182000000 IC1LCRII4S3U1S [0004,000f,03f1]
 183000000 IC1LCU2IC2S12C [0004,0033,000c,0008]
 184000000 IC1LCUI31IIX3S [0004,0003,000f,008f]
 185000000 IC1LCUIC3I1LS3 [0003,000c,0003,002f,0008]
 186000000 IC1LCL2RCU23XS [0004,0009]
 187000000 IC1LCL1ISIS2LX [0001,0ff4]
 188000000 IC1LCLI2X2LSRI [0001,003f,000f]
 189000000 IC1LCLICL1XL2X [0003,0001,000c]
 190000000 IC1LCI3SCLISIR [0004,0002,000c,0f99,000f]
 191000000 IC1LCI3IXX2L2R [000f,0002,0004]
 192000000 IC1LCI2RXISI1R [0003,0002,000f,00ff]
 193000000 IC1LCI12LX2XC [000f,0002]
 194000000 IC1LCI1I1RSRC2 [0003,0004,008c,0003,000f]
 195000000 IC1LCISC2SL1IS [0003,0093,00fc]
 196000000 IC1LCIXI2L13IR [0002,0002,000f,0003,000f]
 197000000 IC1LCIC3IXLI23 [0003,0002,0002,000f,0003,000c]
 198000000 IC1LCICXR23UIR [0002,0009,0004,000c,000f]
 199000000 IC1LCICL4LI53L [0002,000c,0009,000f,0004,000c]
 200000000 IC1LCICIC1XUIS [0003,0004,0002,000c,0003,00fc]
 201000000 IC1LCII2L3SSXX [0003]
 202000000 IC1LCIICL22IR [0003,0004,0002,0009,000f,000c,000f]
 203000000 IC1LI22IC3USI2 [000f,0006,000f,000f,000c]
 204000000 IC1LI2SCII4SXR [000c,0033,000f]
 205000000 IC1LI2RI2X1IXX [0006,000f]
 206000000 IC1LI2LSCRII4C [008c,0026,000f,000f,0004,0002]
 207000000 IC1LI2I1I1SC4 [000f,000f,000c,0033,0006]
 208000000 IC1LI12U2SXIIC [0006,000f,000c,0003]
 209000000 IC1LI1XIX1LSC1 [0013,008c]
 210000000 IC1LI1UCI21S11 [0003,000f,0001,00f8]
 211000000 IC1LI1C2XIC12U [0003,0004,0003,000c,0008]
 212000000 IC1LI1CI1U22CC [0003,000f,0008,0004,000c,0003]
 213000000 IC1LI1IC32L4X2 [0006,000f,0006,0003]
 214000000 IC1LISRC2R2L1X [0003,0066]
 215000000 IC1LISC1LC1LIL [0003,0032,0022,0002,000f]
 216000000 IC1LISIC12C21I [0003,0003,00c4,000c,0032,000f]
 217000000 IC1LIXUICU2SUS [0003,006f]
 218000000 IC1LIXIXCXXLC1 [0001,0008]
 219000000 IC1LIC3R3CL4IX [0003,0006,0004,0001,000c]
 220000000 IC1LIC3IC5C6C [0003,0003,000c,0003,0004,0002,000c]
 221000000 IC1LIC2R3S21I2 [0003,000f,000f,000c]
 222000000 IC1LIC2CISICU2 [0003,000c,0003,0004,000c,000c,00f2]
 223000000 IC1LIC1R3X2UXR [0003,0003]
 224000000 IC1LIC1IC3L31R [0003,0006,000c,0003,000c,0003]
 225000000 IC1LICXIIC1L1 [0003,0006,000c,000f,0006,0003]
 226000000 IC1LICRSI1R3UX [0006,000f,00c9]
 227000000 IC1LICRIC2CRI7 [0006,000c,000c,0003,0004,0004,000f,0003]
 228000000 IC1LICUI3SCU [0003,000c,000c,004c,008c]
 229000000 IC1LICL12CU3U4 [000c,0004,0008,0006,0003]
 230000000 IC1LICLCI14S4R [000c,0008,000f,0007,0006]
 231000000 IC1LICI31CLC35 [0003,0003,000c,0008,0001,0006,000c]
 232000000 IC1LICI1L2U43 [0006,0009,0003,0003,000f]
 233000000 IC1LICIC1IC5S5 [0003,0003,0003,000c,000c,000f,0006]
 234000000 IC1LII31CUI4L [0006,0003,000c,000c,000f,000f]
 235000000 IC1LII23ISSRXL [000f,000f]
 236000000 IC1LII2CR4ICU [000f,000f,0004,0004,0003,000c,000c]
 237000000 IC1LIIX1U1CI3X [0003,000c,0003,000f]
 238000000 IC1LIIC3RI3U2R [0003,000f,0003,000f,0003,0009]
 239000000 IC1LIICXRSCUSR [0003,0006,8919]
 240000000 IC1LIICLSIC3XC [0003,0006,009c,000c,0003]
 241000000 IC1LIIIC41R25S [000f,000f,0006,0006,000f]
 242000000 IC1I22RC3ICI24 [0003,0008,000f,0003,000f,000c,0001]
 243000000 IC1I22LX1CUXIR [0003,000c,000f]
 244000000 IC1I22ISCI3SCX [000f,00cc,0003,000c]
 245000000 IC1I21X1RC2I [0008,0001,0003,000f]
 246000000 IC1I21CR1SR12R [009c,0003,0009]
 247000000 IC1I21I3S2SXC [000c,0003]
 248000000 IC1I2S1RII3RXC [0009,000f,000c,0003]
 249000000 IC1I2SLXIC2I1 [000c,0003,000f,000c]
 250000000 IC1I2SI2RXXI1L [000f,009f]
